,Cases,Deaths
United States,"528,301","20,554"
Spain,"163,027","16,606"
Italy,"152,271","19,468"
Germany,"117,658","2,544"
France,"93,790","13,832"
Mainland China,"84,218","3,339"
U.K.,"78,991","9,875"
Iran,"70,029","4,357"
Turkey,"52,167","1,101"
Belgium,"28,018","3,346"
